slugSeason,avg_pts,avg_ast,avg_reb,avg_stl,avg_blk,avg_tov,avg_fgm,avg_fga,avg_fg_ptc,avg_fgm3,avg_fga3,avg_fg3_pct,avg_fgm2,avg_fga2,avg_fg2_pct,avg_ftm,avg_fta,avg_ft_pct
1979-80,109.33425720620842,NA,NA,NA,NA,NA,43.64689578713969,NA,NA,0.7716186252771619,NA,NA,42.87527716186253,NA,NA,21.268847006651885,27.822062084257205,0.7654844789356985
1980-81,108.10498409331919,NA,NA,NA,NA,NA,42.96235418875928,NA,NA,0.49522799575821846,NA,NA,42.46712619300106,NA,NA,21.68504772004242,28.869034994697774,0.7515980911983032
1981-82,108.57688229056204,25.0625,42.93103448275862,8.65,5.809160305343512,18.16591928251121,43.33669141039236,87.0575,0.4966275,0.5970307529162248,2.265486725663717,0.20002984969799129,42.73966065747614,85.21171171171171,0.5058599539439547,21.306468716861083,28.566808059384943,0.7447067868504772
1982-83,108.51431601272535,25.912616056799564,44.47228260869565,9.145833333333334,6.633540372670807,19.43421052631579,43.52492046659597,89.61383442265796,0.4865157952069717,0.5355249204665959,2.1296296296296298,0.14497354497354498,42.98939554612937,87.3395061728395,0.48636691580190156,20.928950159066808,28.277306468716862,0.7391521739130434
1983-84,110.1102863202545,26.23644251626898,43.07027027027027,9.82857142857143,6.87037037037037,19.33974358974359,43.48250265111347,88.35471898197243,0.49340880169671264,0.5938494167550371,1.9259259259259258,0.16594160297864002,42.88865323435843,83.18518518518519,0.4956091548693458,22.551431601272533,29.693531283138917,0.7594628844114528
1984-85,110.83828207847296,26.223642172523963,49.6392742796158,9.773584905660377,5.6835443037974684,18.888157894736842,43.76033934252386,89.10710498409333,0.49239501590668083,0.8860021208907741,3.1265822784810124,Inf,42.874337221633084,83.0632911392405,0.49989135572236937,22.431601272534465,29.36320254506893,0.7633626723223754
1985-86,110.22004241781548,26.00424178154825,43.5609756097561,8.783669141039237,5.2560975609756095,17.505302226935314,43.19406150583245,88.63096500530223,0.48877041357370093,0.9406150583244963,3.330858960763521,0.23637337388662946,42.253446447507955,85.30010604453871,0.4966234816666519,22.891304347826086,30.261930010604456,0.7564862142099682
1986-87,109.93531283138918,25.975609756097562,44.01166489925769,8.629374337221632,5.501590668080594,16.722693531283138,42.64156945917285,88.7916224814422,0.48177200424178157,1.4252386002120891,4.714209968186639,0.26396351713666605,41.21633085896077,84.07741251325557,0.4916366895823505,23.22693531283139,30.45970307529162,0.7625636267232238
1987-88,108.16171792152704,25.764050901378578,43.387062566277834,8.512725344644752,5.387062566277836,16.423117709437964,42.138388123011666,87.72057264050902,0.4817502651113468,1.5795334040296924,4.995227995758219,0.2865450750844675,40.55885471898197,82.72534464475079,0.49172283493511615,22.30540827147402,29.126723223753977,0.7667486744432662
1988-89,109.16926829268293,25.56780487804878,43.916585365853656,9.08,5.340975609756097,16.91268292682927,42.46829268292683,88.96829268292683,0.4789165853658537,2.113170731707317,6.551707317073171,0.29529066957968525,40.35512195121951,82.41658536585366,0.4913184011436477,22.119512195121953,28.813170731707316,0.7656517073170732
